ine_code,weather_zone_code
01001,750102
01002,750101
01003,750101
01004,750101
01006,750102
01008,750102
01009,750102
01010,750101
01011,750103
01013,750102
01014,750102
01016,750102
01017,750102
01018,750101
01019,750103
01020,750102
01021,750102
01022,750103
01023,750103
01027,750102
01028,750103
01030,750103
01031,750103
01032,750103
01033,750103
01034,750103
01036,750101
01037,750102
01039,750103
01041,750103
01042,750101
01043,750103
01044,750103
01046,750102
01047,750102
01049,750102
01051,750102
01052,750103
01053,750102
01054,750101
01055,750102
01056,750102
01057,750103
01058,750101
01059,750102
01060,750103
01061,750102
01062,750102
01063,750101
01901,750102
01902,750102
02001,680201
02002,680201
02003,680201
02004,680203
02005,680201
02006,680202
02007,680201
02008,680202
02009,680203
02010,680203
02011,680202
02012,680201
02013,680201
02014,680201
02015,680201
02016,680202
02017,680202
02018,680203
02019,680201
02020,680201
02021,680201
02022,680201
02023,680201
02024,680201
02025,680203
02026,680201
02027,680203
02028,680202
02029,680201
02030,680202
02031,680202
02032,680201
02033,680203
02034,680201
02035,680201
02036,680201
02037,680203
02038,680201
02039,680203
02040,680201
02041,680201
02042,680202
02043,680201
02044,680202
02045,680201
02046,680201
02047,680202
02048,680201
02049,680202
02050,680201
02051,680203
02052,680201
02053,680201
02054,680201
02055,680202
02056,680203
02057,680201
02058,680202
02059,680202
02060,680202
02061,680203
02062,680202
02063,680203
02064,680201
02065,680201
02066,680201
02067,680202
02068,680201
02069,680201
02070,680202
02071,680201
02072,680202
02073,680201
02074,680203
02075,680201
02076,680202
02077,680201
02078,680201
02079,680201
02080,680202
02081,680201
02082,680201
02083,680201
02084,680202
02085,680201
02086,680202
02901,680201
03001,770301
03002,770303
03003,770301
03004,770303
03005,770303
03006,770301
03007,770301
03008,770301
03009,770302
03010,770301
03011,770303
03012,770303
03013,770302
03014,770303
03015,770303
03016,770301
03017,770301
03018,770301
03019,770303
03020,770301
03021,770302
03022,770301
03023,770302
03024,770303
03025,770303
03026,770301
03027,770301
03028,770301
03029,770301
03030,770301
03031,770303
03032,770302
03033,770301
03034,770303
03035,770301
03036,770301
03037,770301
03038,770301
03039,770301
03040,770301
03041,770301
03042,770301
03043,770302
03044,770303
03045,770301
03046,770303
03047,770301
03048,770301
03049,770303
03050,770303
03051,770302
03052,770302
03053,770302
03054,770301
03055,770303
03056,770301
03057,770301
03058,770303
03059,770303
03060,770301
03061,770303
03062,770303
03063,770301
03064,770303
03065,770303
03066,770302
03067,770301
03068,770301
03069,770303
03070,770303
03071,770301
03072,770301
03073,770301
03074,770303
03075,770301
03076,770303
03077,770303
03078,770303
03079,770302
03080,770303
03081,770301
03082,770301
03083,770302
03084,770301
03085,770301
03086,770301
03088,770303
03089,770302
03090,770303
03091,770301
03092,770301
03093,770303
03094,770303
03095,770301
03096,770302
03097,770301
03098,770303
03099,770303
03100,770301
03101,770301
03102,770301
03103,770302
03104,770302
03105,770302
03106,770301
03107,770303
03109,770303
03110,770301
03111,770303
03112,770303
03113,770303
03114,770302
03115,770301
03116,770302
03117,770301
03118,770303
03119,770303
03120,770303
03121,770303
03122,770303
03123,770302
03124,770301
03125,770301
03127,770301
03128,770301
03129,770302
03130,770301
03131,770301
03132,770302
03133,770303
03134,770301
03135,770301
03136,770301
03137,770301
03138,770301
03139,770303
03140,770302
03901,770301
03902,770303
03903,770303
03904,770303
04001,610402
04002,610402
04003,610403
04004,610401
04005,610403
04006,610401
04007,610403
04008,610401
04009,610401
04010,610403
04011,610403
04012,610403
04013,610403
04014,610403
04015,610403
04016,610401
04017,610401
04018,610401
04019,610401
