ine_code,name,time_zone
01,Andalucía,Europe/Madrid
02,Aragón,Europe/Madrid
03,Principado de Asturias,Europe/Madrid
04,Illes Balears,Europe/Madrid
05,Canarias,Atlantic/Canary
06,Cantabria,Europe/Madrid
07,Castilla y León,Europe/Madrid
08,Castilla - La Mancha,Europe/Madrid
09,Cataluña,Europe/Madrid
10,Comunitat Valenciana,Europe/Madrid
11,Extremadura,Europe/Madrid
12,Galicia,Europe/Madrid
13,Comunidad de Madrid,Europe/Madrid
14,Región de Murcia,Europe/Madrid
15,Comunidad Foral de Navarra,Europe/Madrid
16,País Vasco,Europe/Madrid
17,La Rioja,Europe/Madrid
18,Ciudad de Ceuta,Europe/Madrid
19,Ciudad de Melilla,Europe/Madrid
