code,name,province_ine_code
6104,Almería,04
6111,Cádiz,11
6114,Córdoba,14
6118,Granada,18
6121,Huelva,21
6123,Jaén,23
6129,Málaga,29
6141,Sevilla,41
6222,Huesca,22
6244,Teruel,44
6250,Zaragoza,50
6333,Asturias,33
6453,Ibiza y Formentera,07
6454,Mallorca,07
6455,Menorca,07
6590,Gran Canaria,35
6591,Lanzarote,35
6592,Fuerteventura,35
6593,La Palma,38
6594,La Gomera,38
6595,El Hierro,38
6596,Tenerife,38
6639,Cantabria,39
6705,Ávila,05
6709,Burgos,09
6724,León,24
6734,Palencia,34
6737,Salamanca,37
6740,Segovia,40
6742,Soria,42
6747,Valladolid,47
6749,Zamora,49
6802,Albacete,02
6813,Ciudad Real,13
6816,Cuenca,16
6819,Guadalajara,19
6845,Toledo,45
6908,Barcelona,08
6917,Girona,17
6925,Lleida,25
6943,Tarragona,43
7006,Badajoz,06
7010,Cáceres,10
7115,A Coruña,15
7127,Lugo,27
7132,Ourense,32
7136,Pontevedra,36
7228,Madrid,28
7330,Murcia,30
7431,Navarra,31
7501,Araba/Álava,01
7520,Gipuzkoa,20
7548,Bizkaia,48
7626,La Rioja,26
7703,Alacant/Alicante,03
7712,Castelló/Castellón,12
7746,València/Valencia,46
7851,Ceuta,51
7952,Melilla,52
